Reference,DOI,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibroin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_Chitosan_Conc_(%w/v),Final_CS-AEMA_Conc_(%w/v),Final_TCP_Conc_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),Final_PEGTA_Conc_(%w/v),Final_PEGMA_Conc_(%w/v),Final_PEGDA_Conc_(%w/v),Final_Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Fiber_Diameter_(µm),Fiber_Spacing_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Matrigel_Used?,Conical_or_Straight_Nozzle,Primary/Not_Primary,Viability_at_time_of_observation_(%),Acceptable_Viability_(Yes/No),Acceptable_Pressure_(Yes/No)
Izadifar et al. 2016,10.1089/ten.tec.2015.0307,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,10,,,25,0,200,,,5680000,10,22,7,Y,N,N,N,N,N,N,N,C,Primary,76,N,N
Izadifar et al. 2016,10.1089/ten.tec.2015.0307,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,10,,,25,0,200,,,5680000,10,22,14,Y,N,N,N,N,N,N,N,C,Primary,85,Y,Y
"Khalil and Sun, 2009",10.1115/1.3128729,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,55.16,,,10.5,0,250,,1000,500000,22,22,0,N,N,N,Y,N,N,N,N,S,Not_Primary,76.5,N,N
"Khalil and Sun, 2009",10.1115/1.3128729,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,110.32,,,10.5,0,250,,1000,500000,22,22,0,N,N,N,Y,N,N,N,N,S,Not_Primary,75.67,N,N
"Khalil and Sun, 2009",10.1115/1.3128729,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,165.47,,,10.5,0,250,,1000,500000,22,22,0,N,N,N,Y,N,N,N,N,S,Not_Primary,84.74,Y,Y
"Khalil and Sun, 2009",10.1115/1.3128729,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,220.63,,,10.5,0,250,,1000,500000,22,22,0,N,N,N,Y,N,N,N,N,S,Not_Primary,84.43,Y,Y
Kundu et al. 2013,10.1002/term.1682,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,9,,,6.67,0,250,,,1000000,22,22,0,N,N,N,Y,N,N,N,N,S,Primary,96,Y,Y
Kundu et al. 2013,10.1002/term.1682,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,25,,,6.67,0,250,,,1000000,22,22,0,N,N,N,Y,N,N,N,N,S,Primary,96,Y,Y
Kundu et al. 2013,10.1002/term.1682,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,9,,,6.67,0,250,,,1000000,22,22,0,N,N,N,Y,N,N,N,N,S,Primary,85,Y,Y
Kundu et al. 2013,10.1002/term.1682,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,25,,,6.67,0,250,,,1000000,22,22,0,N,N,N,Y,N,N,N,N,S,Primary,85,Y,Y
Othman et al. 2020,10.1007/s00289-020-03421-y,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,,50,0.0167,,0,1000,1500,,,22,22,15,N,Y,N,Y,N,N,N,N,C,Not_Primary,95.25,Y,Y
Ouyang et al. 2015,10.1088/1758-5090/7/4/044101,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,,,0,250,415,754,2000000,4,4,0,N,N,N,Y,N,N,N,N,S,Not_Primary,54.94,N,N
Ouyang et al. 2015,10.1088/1758-5090/7/4/044101,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,,,0,250,415,754,2000000,25,10,0,N,N,N,Y,N,N,N,N,S,Not_Primary,92.25,Y,Y
Ouyang et al. 2015,10.1088/1758-5090/7/4/044101,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,,,0,250,415,754,2000000,25,25,0,N,N,N,Y,N,N,N,N,S,Not_Primary,92.64,Y,Y
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,30,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,63.8,N,N
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,27.5,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,32.7,N,N
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,25,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,3.9,N,N
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,30,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,86.6,Y,Y
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,27.5,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,59.4,N,N
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,25,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,27,N,N
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,22.5,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,5.7,N,N
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,30,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,92.3,Y,Y
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,27.5,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,85.4,Y,Y
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,25,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,68.5,N,N
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,22.5,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,38.9,N,N
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,22.5,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,13.8,N,N
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,22.5,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,54.7,N,N
Ouyang et al. 2016,10.1088/1758-5090/8/3/035020,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,,,0.00068,,0,250,500,500,1000000,22.5,22.5,0,N,N,N,Y,N,N,N,N,S,Not_Primary,88.4,Y,Y
Yao et al. 2019,10.1088/1758-5090/ab38ef,1,3,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,250,,,6.5,0,340,973,260,1000000,15,4,3,N,N,N,Y,N,N,N,N,C,Primary,95,Y,Y
Zhao et al. 2014,10.1088/1758-5082/6/3/035001,1,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,,,0.00017,,0,250,500,827,1000000,25,10,0,Y,N,N,Y,N,N,Y,N,S,Not_Primary,95,Y,Y
Zhao et al. 2014,10.1088/1758-5082/6/3/035001,1,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,,,0.00017,,0,250,500,827,1000000,20,10,0,Y,N,N,Y,N,N,Y,N,S,Not_Primary,80,Y,Y
Zhao et al. 2014,10.1088/1758-5082/6/3/035001,1,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,,,0.00017,,0,250,500,827,1000000,15,10,0,Y,N,N,Y,N,N,Y,N,S,Not_Primary,72,N,N
Zhao et al. 2014,10.1088/1758-5082/6/3/035001,1,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,,,0.00017,,0,250,500,827,1000000,10,10,0,Y,N,N,Y,N,N,Y,N,S,Not_Primary,47,N,N
Gantumur et al. 2020,10.18063/ijb.v6i1.250,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,,22,,22,0,210,210,1653.93,500000,22,22,1,N,N,N,Y,N,N,N,N,S,Not_Primary,54.1,N,N
Gantumur et al. 2020,10.18063/ijb.v6i1.250,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,,22,,22,0,210,210,1318.33,500000,22,22,7,N,N,N,Y,N,N,N,N,S,Not_Primary,56,N,N
Bociaga et al. 2020,10.3390/ma13194237,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,100,2,,,0,300,300,1090.9,,34,10,0,Y,N,N,N,N,N,N,N,S,Not_Primary,97.62,Y,Y
Bociaga et al. 2020,10.3390/ma13194237,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,100,2,,,0,300,300,1090.9,,37,10,0,Y,N,N,N,N,N,N,N,S,Not_Primary,98.33,Y,Y
Bociaga et al. 2020,10.3390/ma13194237,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,100,2,,,0,300,300,1090.9,,40,10,0,Y,N,N,N,N,N,N,N,S,Not_Primary,98.86,Y,Y
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,410,1014.53,840,3000000,22,22,0,Y,N,N,N,N,N,N,N,C,Primary,80,Y,Y
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,410,,840,3000000,22,22,1,Y,N,N,N,N,N,N,N,C,Primary,79,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,840,,840,3000000,22,22,0,Y,N,N,N,N,N,N,N,C,Primary,77,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,840,,840,3000000,22,22,1,Y,N,N,N,N,N,N,N,C,Primary,76,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,410,1113.08,840,3000000,22,22,0,Y,N,N,N,N,N,N,N,C,Primary,73,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,410,,840,3000000,22,22,1,Y,N,N,N,N,N,N,N,C,Primary,75,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,410,1014.53,840,10000000,22,22,0,Y,N,N,N,N,N,N,N,C,Primary,71.4,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,410,,840,10000000,22,22,1,Y,N,N,N,N,N,N,N,C,Primary,67.75,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,410,,840,10000000,22,22,7,Y,N,N,N,N,N,N,N,C,Primary,86.3,Y,Y
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,840,,840,10000000,22,22,0,Y,N,N,N,N,N,N,N,C,Primary,68.5,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,840,,840,10000000,22,22,1,Y,N,N,N,N,N,N,N,C,Primary,62.05,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,840,,840,10000000,22,22,7,Y,N,N,N,N,N,N,N,C,Primary,78.4,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,410,1113.08,840,10000000,22,22,0,Y,N,N,N,N,N,N,N,C,Primary,70,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,410,,840,10000000,22,22,1,Y,N,N,N,N,N,N,N,C,Primary,66.71,N,N
Fisch et al. 2021,10.1088/1758-5090/abc39b,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,26,,0.00224,13.33,0,410,,840,10000000,22,22,7,Y,N,N,N,N,N,N,N,C,Primary,86.3,Y,Y
Kharel et al. 2019,10.1115/1.4043960,2,3,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,,5,,4,0,600,,,7200000,22,22,4,Y,N,N,N,N,N,N,N,S,Primary,97.5,Y,Y
Kharel et al. 2019,10.1115/1.4043960,2,3,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,,5,,4,0,600,,,7200000,22,22,7,Y,N,N,N,N,N,N,N,S,Primary,98.56,Y,Y
Li et al. 2021,10.1016/j.addma.2020.101640,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,0,250,250,307.47,366000,26,22,0,N,N,N,Y,N,Y,N,N,S,Not_Primary,95.64,Y,Y
Li et al. 2021,10.1016/j.addma.2020.101640,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,0,250,250,553.5373,366000,26,22,5,N,N,N,Y,N,Y,N,N,S,Not_Primary,97.98,Y,Y
Li et al. 2021,10.1016/j.addma.2020.101640,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,0,250,250,667.041,366000,26,22,0,N,N,N,Y,N,Y,N,N,S,Not_Primary,95.15,Y,Y
Li et al. 2021,10.1016/j.addma.2020.101640,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,0,250,250,525.147,366000,26,22,5,N,N,N,Y,N,Y,N,N,S,Not_Primary,96.03,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,60,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,43.16,N,N
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,60,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,64.26,N,N
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,60,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,83.01,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,60,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,92.38,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,60,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,94.73,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,0,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,98.41,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,0,,,0.00167,,410,840,800,,4000000,5,22,1,Y,N,N,N,N,N,N,N,S,Not_Primary,99.74,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,99.74,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,1,Y,N,N,N,N,N,N,N,S,Not_Primary,98.94,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,2400,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,98.41,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,2400,,,0.00167,,410,840,800,,4000000,5,22,1,Y,N,N,N,N,N,N,N,S,Not_Primary,96.82,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,93.92,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,1,Y,N,N,N,N,N,N,N,S,Not_Primary,90.2,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,7,Y,N,N,N,N,N,N,N,S,Not_Primary,97.65,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,99.8,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,1,Y,N,N,N,N,N,N,N,S,Not_Primary,85.69,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,7,Y,N,N,N,N,N,N,N,S,Not_Primary,94.71,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,94.9,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,1,Y,N,N,N,N,N,N,N,S,Not_Primary,95.1,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,7,Y,N,N,N,N,N,N,N,S,Not_Primary,88.24,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,14,Y,N,N,N,N,N,N,N,S,Not_Primary,97.45,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,28,Y,N,N,N,N,N,N,N,S,Not_Primary,94.51,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,N,S,Not_Primary,95.69,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,1,Y,N,N,N,N,N,N,N,S,Not_Primary,78.63,N,N
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,7,Y,N,N,N,N,N,N,N,S,Not_Primary,86.08,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,14,Y,N,N,N,N,N,N,N,S,Not_Primary,80.98,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,28,Y,N,N,N,N,N,N,N,S,Not_Primary,98.04,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,Y,S,Not_Primary,86.67,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,1,Y,N,N,N,N,N,N,Y,S,Not_Primary,89.61,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,7,Y,N,N,N,N,N,N,Y,S,Not_Primary,96.67,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,14,Y,N,N,N,N,N,N,Y,S,Not_Primary,97.84,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,28,Y,N,N,N,N,N,N,Y,S,Not_Primary,98.82,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,Y,S,Primary,98.04,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,1,Y,N,N,N,N,N,N,Y,S,Primary,92.35,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,7,Y,N,N,N,N,N,N,Y,S,Primary,91.57,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,14,Y,N,N,N,N,N,N,Y,S,Primary,98.82,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,28,Y,N,N,N,N,N,N,Y,S,Primary,98.63,Y,Y
Mistry et al. 2018,10.1002/mabi.201600472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,150,0,0,600,1200,,,0.00167,,410,840,800,,4000000,5,22,0,Y,N,N,N,N,N,N,Y,S,Primary,99.8,Y,Y
